"word","mRT","accuracy"
"Apaches",823.08,0.78125
"Aphrodite",934.966666666667,0.882352941176471
"Apollo",595.71875,1
"Apollo's",628.176470588235,0.971428571428571
"Apollonian",1093.14285714286,0.451612903225806
"Apostolic",890,0.709677419354839
"Appalachian",823.46875,0.941176470588235
"Appalachians",842.592592592593,0.870967741935484
"April",663.71875,0.941176470588235
"Aquarius",817.375,0.96969696969697
"Aquinas",869.333333333333,0.6
"Arab",717.033333333333,0.9375
"Arabia",722.909090909091,0.970588235294118
"Arabian",648.533333333333,0.967741935483871
"Arabians",773.090909090909,0.970588235294118
"Arabic",693.09375,0.96969696969697
"Arabs",654.838709677419,1
"Arcadia",954.782608695652,0.766666666666667
"Archimedes",910.407407407407,0.818181818181818
"Arctic",877.032258064516,0.939393939393939
"Ares",825.571428571429,0.424242424242424
"Argentina",781.733333333333,0.9375
"Argentine",919.645161290323,0.911764705882353
"Argentinian",922.730769230769,0.866666666666667
"Argonaut",922,0.6875
"Argonauts",1101.47368421053,0.59375
"Ariadne",1032.3,0.285714285714286
"Arianism",928.066666666667,0.454545454545455
"Arianist",1146.3,0.303030303030303
"Arianists",1170.75,0.307692307692308
"Aries",827.357142857143,0.875
"Aristotelian",1133.85,0.606060606060606
"Aristotle",796.205882352941,0.971428571428571
"Aristotle's",798.483870967742,1
"Arizona",606.833333333333,1
"Arkansas",682.9375,0.96969696969697
"Arlene",791.107142857143,0.875
"Arlene's",812.758620689655,0.878787878787879
"Arlington",778.633333333333,0.9375
"Armageddon",827.266666666667,0.967741935483871
"Armenian",809.380952380952,0.617647058823529
"Armstrong",716.090909090909,1
"Arnold",679.484848484848,0.970588235294118
"Arnold's",714.774193548387,0.939393939393939
"Artemis",765.730769230769,0.764705882352941
"Arthur",610.5,0.96969696969697
"Arthur's",713.666666666667,0.970588235294118
"Aryan",817.8,0.757575757575758
"Ashley",599.666666666667,1
"Asia",563.411764705882,0.971428571428571
"Asian",619.545454545455,0.970588235294118
"Asians",668.363636363636,0.970588235294118
"Asiatic",984.785714285714,0.451612903225806
"Asimov's",878.307692307692,0.40625
"Assyrian",1033.4,0.645161290322581
"Asteria",987.8125,0.533333333333333
"Athabascan",1524,0.0333333333333333
"Athena",775.40625,0.941176470588235
"Athenian",777.741935483871,0.939393939393939
"Athenians",824.032258064516,0.96875
"Athens",700.625,0.941176470588235
"Atlanta",668.606060606061,0.970588235294118
"Atlanta's",685.636363636364,1
"Atlantic",680.735294117647,1
"Atlantis",739.58064516129,0.939393939393939
"Attic",745.709677419355,0.939393939393939
"Audrey",707.92,0.833333333333333
"Audubon",907.5,0.484848484848485
"August",653.382352941176,0.971428571428571
"Augusta",856.62962962963,0.818181818181818
"Augusta's",855.807692307692,0.764705882352941
"Augustan",1199.47368421053,0.575757575757576
"Augustine",850.074074074074,0.9
"Augustine's",984.032258064516,0.939393939393939
"Augustus",885.444444444444,0.818181818181818
"Auschwitz",901.85,0.645161290322581
"Aussie",804.576923076923,0.764705882352941
"Austin",677.575757575758,1
"Austin's",686.714285714286,1
"Australia",772.606060606061,0.970588235294118
"Australian",720.71875,1
"Austria",721.46875,0.96969696969697
"Austrian",750.032258064516,0.96875
"Azerbaijan",905.555555555556,0.3
"Babylon",741.735294117647,1
"Babylonian",862.966666666667,0.909090909090909
"Babylonians",977.259259259259,0.870967741935484
"Bacchanal",710,0.181818181818182
"Bacchus",829.230769230769,0.393939393939394
"Bach",661.566666666667,0.909090909090909
"Badlands",801.285714285714,0.65625
"Bahamas",677.636363636364,0.970588235294118
"Bahrain",1049.46153846154,0.433333333333333
"Bali",806.727272727273,0.628571428571429
"Balinese",833.2,0.303030303030303
"Balkans",840.913043478261,0.741935483870968
"Baltic",702.6,0.967741935483871
"Baltimore",789.727272727273,1
"Baltimore's",747.647058823529,1
"Bambi",771.685714285714,1
"Bangkok",780.181818181818,0.647058823529412
"Bangladesh",813.4,0.9375
"Baptist",632.121212121212,1
"Baptists",787.875,0.941176470588235
"Barbados",809.37037037037,0.870967741935484
"Barbara",683.15625,0.96969696969697
"Barry",695.3,0.9375
"Bartlett",850.416666666667,0.727272727272727
"Bauhaus",807.25,0.333333333333333
"Bavaria",767.384615384615,0.433333333333333
"Beatrice",790.481481481482,0.870967741935484
"Beaujolais",1088.5,0.121212121212121
"Becket",819.125,0.470588235294118
"Bedouin",737,0.303030303030303
"Beethoven",776.310344827586,0.935483870967742
"Beethoven's",705.766666666667,1
"Beirut",811.1875,0.470588235294118
"Belgian",871.875,0.96969696969697
"Belgians",717.464285714286,0.96551724137931
"Belgium",673.129032258065,0.96875
"Ben",560.805555555556,1
"Ben's",586.096774193548,0.96875
"Benedict",709.5,0.967741935483871
"Benedictine",861.2,0.833333333333333
"Bengal",798.5,0.764705882352941
"Benjamin",755.151515151515,0.970588235294118
"Beowulf",782.428571428571,0.67741935483871
"Berkeley",817.741935483871,0.96875
"Berlin",695.677419354839,0.911764705882353
"Berlin's",734.424242424242,0.970588235294118
"Berliners",1035.35714285714,0.451612903225806
"Bermuda",739.151515151515,0.942857142857143
"Bern",731.647058823529,0.548387096774194
"Bernard",737.655172413793,0.966666666666667
"Bert",672.3,0.625
"Bertha",831.794117647059,1
"Beth",675.387096774194,0.96875
"Bethlehem",861.129032258065,0.939393939393939
"Betty",567.181818181818,1
"Betty's",679.151515151515,0.970588235294118
"Bhutan",898.333333333333,0.0909090909090909
"Bible",550.424242424242,1
"Bibles",619.862068965517,0.935483870967742
"Bill's",624.166666666667,0.9375
"Billy",648.21875,0.96969696969697
"Bismarck",906.961538461538,0.8125
"Blackfeet",866.28,0.78125
"Bluebeard",857.857142857143,0.903225806451613
"Bob's",670.787878787879,0.970588235294118
"Bobby",699.757575757576,0.970588235294118
"Boeing",809.925925925926,0.84375
"Bogartian",1234,0.161290322580645
"Bohemia",757.41935483871,0.911764705882353
"Bolivia",741.758620689655,0.90625
"Bolivian",839.4,0.882352941176471
"Bologna",685.733333333333,0.909090909090909
"Bolshevik",765.4,0.625
"Bolsheviks",985.15,0.606060606060606
"Bolshevism",1081.57894736842,0.59375
"Bombay",879.705882352941,0.971428571428571
"Bordeaux",739.333333333333,0.636363636363636
"Borneo",742.222222222222,0.5625
"Boston",585.484848484848,1
"Boston's",660.8125,0.941176470588235
"Bostonian",822.741935483871,0.939393939393939
"Bostonians",828.777777777778,0.870967741935484
"Bowie",756.85,0.588235294117647
"Brad",698,0.941176470588235
"Bradley",711.75,0.96969696969697
"Brahmin",1118.875,0.258064516129032
"Brahms",864.833333333333,0.6
"Brandon",788.666666666667,1
"Brandon's",685.6875,0.96969696969697
"Brandywine",974.038461538462,0.838709677419355
"Brazil",675.066666666667,0.9375
"Brazilian",714,0.941176470588235
"Breton",748.285714285714,0.21875
"Brett",731.866666666667,0.9375
"Brewer's",831.892857142857,0.933333333333333
"Brian",699.03125,0.96969696969697
"Brie",848.166666666667,0.375
"Brisbane",828.4375,0.470588235294118
"Bristol",850.75,0.823529411764706
"Britain",718.242424242424,1
"Britain's",780.928571428571,0.933333333333333
"Britannic",1212.23529411765,0.548387096774194
"British",615.852941176471,0.971428571428571
"Britisher",988.545454545455,0.333333333333333
"Briton",1005.69230769231,0.382352941176471
"Britons",1007.6,0.46875
"Broadway",678.225806451613,0.939393939393939
"Broadway's",745.575757575758,1
"Bronx",682.548387096774,0.911764705882353
"Brooklyn",595.69696969697,1
"Brooklyn's",710.838709677419,0.96875
"Bruce",655.794117647059,1
"Brunei",816,0.151515151515152
"Brussels",771.875,0.96969696969697
"Buchanan",872.038461538462,0.787878787878788
"Bucharest",981,0.46875
"Budapest",743,0.878787878787879
"Buddha",652.806451612903,0.939393939393939
"Buddhism",702.6875,0.941176470588235
"Buddhist",745.51724137931,0.852941176470588
"Buddhists",793.133333333333,0.909090909090909
"Bugatti",1073.25,0.117647058823529
"Buick",719.258064516129,0.939393939393939
"Bulgaria",729.125,1
