"","word","mRT","acc"
"92","ace",507.694444444444,0.947368421052632
"93","aces",606.138888888889,0.947368421052632
"94","ache",524.315789473684,1
"95","ached",664.515151515152,0.825
"96","aches",563.815789473684,0.974358974358974
"97","achieve",541.486486486486,1
"98","achieved",532.189189189189,1
"99","achieves",568.810810810811,0.925
"100","aching",701.694444444444,0.972972972972973
"101","acid",508.775,1
"102","acids",625.891891891892,0.973684210526316
"103","acme",785.4375,0.4
"104","acne",641.387096774194,0.815789473684211
"105","acorn",648.514285714286,0.921052631578947
"106","acorns",671.394736842105,0.95
"107","acquaint",660.970588235294,0.85
"108","acquit",806.7,0.526315789473684
"109","acre",600.179487179487,0.975
"110","acres",640.675675675676,0.973684210526316
"111","acrid",691.05,0.5
"112","across",528.078947368421,1
"113","act",552.684210526316,1
"114","acted",619.85,1
"115","acting",580.815789473684,1
"116","action",518.131578947368,1
"117","actions",537.65,1
"118","active",536.95,1
"119","actor",534.358974358974,0.975
"120","actors",534.55,1
"121","actress",571.692307692308,0.975
"122","acts",474.055555555556,0.947368421052632
"123","actual",528.075,1
"124","acute",576.333333333333,0.975
"125","ad",608.583333333333,0.631578947368421
"126","adage",725,0.263157894736842
"127","adam",591.868421052632,0.95
"128","adapt",562.05,1
"129","adapts",578.375,1
"130","add",563.947368421053,1
"131","added",533.885714285714,0.921052631578947
"132","adder",629.393939393939,0.825
"133","adders",701.766666666667,0.75
"134","addict",537,1
"135","addicts",560.324324324324,0.973684210526316
"136","adding",591.394736842105,0.95
"137","addled",741.454545454545,0.564102564102564
"138","address",530.725,1
"139","addressed",585.05,1
"140","adds",623.641025641026,0.975
"141","adduce",983.666666666667,0.0769230769230769
"142","adduced",658.4,0.128205128205128
"143","adept",673.41935483871,0.815789473684211
"144","adeptly",801.5,0.685714285714286
"145","adepts",710.791666666667,0.631578947368421
"146","adhere",680.805555555556,0.947368421052632
"147","adhered",660.272727272727,0.825
"148","adheres",705.909090909091,0.825
"149","adieu",699.142857142857,0.552631578947368
"150","adjoin",685.666666666667,0.710526315789474
"151","adjoined",700.472222222222,0.9
"152","adjoins",656.194444444444,0.9
"153","adjourn",667.848484848485,0.825
"154","adjourned",690.676470588235,0.894736842105263
"155","adjourns",779.931034482759,0.805555555555556
"156","adjudge",786.818181818182,0.289473684210526
"157","adjudged",900.352941176471,0.459459459459459
"158","adjunct",671.285714285714,0.7
"159","adjuncts",611.666666666667,0.6
"160","adjured",628.789473684211,0.558823529411765
"161","adjust",582.410256410256,0.975
"162","adjusts",582.864864864865,0.948717948717949
"163","adman",452.5,0.05
"164","admass",515.5,0.05
"165","admen",668,0.15
